PathName	X	Y
daohuongthon_bac	1678	3128
daohuongthon_bac	1660	3131
daohuongthon_bac	1647	3113
daohuongthon_bac	1635	3108
daohuongthon_bac	1624	3102
daohuongthon_bac	1611	3082
daohuongthon_bac	1606	3056
daohuongthon_bac	1601	3025
daohuongthon_bac	1590	2994
daohuongthon_bac	1601	2964
daohuongthon_bac	1611	2936
daohuongthon_bac	1630	2916
daohuongthon_bac	1660	2925
daohuongthon_bac	1657	2959
daohuongthon_bac	1679	2977
daohuongthon_bac	1695	2961
daohuongthon_bac	1697	2939
daohuongthon_bac	1694	2910
daohuongthon_bac	1716	2911
daohuongthon_bac	1731	2884
daohuongthon_bac	1748	2876
daohuongthon_bac	1758	2850
daohuongthon_bac	1764	2832
daohuongthon_bac	1782	2861
daohuongthon_bac	1797	2882
daohuongthon_bac	1803	2891
daohuongthon_bac	1813	2917
daohuongthon_bac	1821	2933
daohuongthon_bac	1820	2957
daohuongthon_bac	1819	2987
daohuongthon_bac	1841	3010
daohuongthon_bac	1847	3036
daohuongthon_bac	1866	3062
daohuongthon_bac	1865	3093
daohuongthon_bac	1860	3113
daohuongthon_bac	1864	3133
daohuongthon_bac	1864	3154
daohuongthon_bac	1863	3163
daohuongthon_bac	1854	3192
daohuongthon_bac	1872	3213
daohuongthon_bac	1891	3219
daohuongthon_bac	1905	3223
daohuongthon_bac	1897	3203
daohuongthon_bac	1876	3201
daohuongthon_bac	1854	3194
daohuongthon_bac	1836	3194
daohuongthon_bac	1821	3212
daohuongthon_bac	1806	3192
daohuongthon_bac	1786	3186
daohuongthon_bac	1773	3206
daohuongthon_bac	1761	3189
daohuongthon_bac	1747	3171
daohuongthon_bac	1737	3157
daohuongthon_bac	1726	3141
daohuongthon_bac	1714	3138
daohuongthon_bac	1713	3128
daohuongthon_bac	1702	3144
daohuongthon_bac	1695	3160
daohuongthon_bac	1678	3163
daohuongthon_bac	1673	3175
daohuongthon_bac	1674	3190
daohuongthon_bac	1661	3187
daohuongthon_bac	1650	3197
daohuongthon_bac	1643	3201
daohuongthon_nam	1625	3106
daohuongthon_nam	1618	3127
daohuongthon_nam	1616	3134
daohuongthon_nam	1600	3150
daohuongthon_nam	1586	3160
daohuongthon_nam	1605	3183
daohuongthon_nam	1622	3219
daohuongthon_nam	1605	3241
daohuongthon_nam	1594	3243
daohuongthon_nam	1591	3248
daohuongthon_nam	1581	3266
daohuongthon_nam	1575	3274
daohuongthon_nam	1563	3289
daohuongthon_nam	1550	3294
daohuongthon_nam	1534	3313
daohuongthon_nam	1516	3325
daohuongthon_nam	1485	3324
daohuongthon_nam	1468	3327
daohuongthon_nam	1470	3357
daohuongthon_nam	1466	3377
daohuongthon_nam	1453	3377
daohuongthon_nam	1434	3390
daohuongthon_nam	1415	3406
daohuongthon_nam	1393	3401
daohuongthon_nam	1362	3394
daohuongthon_nam	1339	3395
daohuongthon_nam	1364	3384
daohuongthon_nam	1378	3374
daohuongthon_nam	1375	3348
daohuongthon_nam	1373	3319
daohuongthon_nam	1362	3285
daohuongthon_nam	1360	3252
daohuongthon_nam	1354	3217
daohuongthon_nam	1361	3173
daohuongthon_nam	1367	3143
daohuongthon_nam	1357	3116
daohuongthon_nam	1349	3073
daohuongthon_nam	1346	3031
daohuongthon_nam	1359	3018
daohuongthon_nam	1370	2995
daohuongthon_nam	1383	2998
daohuongthon_nam	1390	2978
daohuongthon_nam	1409	2992
daohuongthon_nam	1437	2978
daohuongthon_nam	1440	2982
daohuongthon_nam	1451	2977
daohuongthon_nam	1458	2966
daohuongthon_nam	1473	2950
daohuongthon_nam	1490	2926
daohuongthon_nam	1503	2925
daohuongthon_nam	1516	2942
daohuongthon_nam	1522	2955
daohuongthon_nam	1545	2975
daohuongthon_nam	1568	2986
daohuongthon_nam	1592	3009
daohuongthon_nam	1606	3031
daohuongthon_nam	1607	3060
daohuongthon_nam	1610	3083
daohuongthon_nam	1620	3103
daohuongthon_nam	1631	3111
daohuongthon_nam	1644	3108
daohuongthon_nam	1660	3129
daohuongthon_nam	1665	3127
daohuongthon_nam	1677	3126
