Camp	PathName	X	Y
camp1	1	1604	3433
camp1	1	1604	3422
camp1	1	1604	3415
camp1	1	1602	3404
camp1	1	1599	3396
camp1	1	1596	3388
camp1	1	1594	3378
camp1	1	1593	3369
camp1	1	1592	3360
camp1	1	1588	3351
camp1	1	1585	3342
camp1	1	1584	3333
camp1	1	1583	3325
camp1	1	1583	3314
camp1	1	1583	3304
camp1	1	1582	3295
camp1	1	1582	3286
camp1	1	1582	3273
camp1	1	1579	3265
camp1	1	1578	3258
camp1	1	1573	3250
camp1	1	1573	3242
camp1	1	1579	3240
camp1	1	1588	3240
camp1	1	1595	3237
camp1	1	1602	3231
camp1	1	1606	3224
camp1	1	1611	3218
camp1	1	1617	3211
camp1	1	1624	3205
camp1	1	1630	3199
camp1	1	1636	3193
camp1	1	1645	3185
camp1	1	1652	3177
camp1	1	1658	3170
camp1	1	1663	3164
camp1	1	1669	3158
camp1	1	1676	3152
camp1	1	1682	3146
camp1	1	1688	3140
camp1	1	1694	3133
camp1	1	1699	3127
camp1	1	1706	3120
camp1	1	1712	3114
camp1	1	1719	3107
camp1	1	1725	3101
camp1	1	1733	3093
camp1	1	1738	3088
camp1	1	1748	3076
camp1	2	1480	3329
camp1	2	1486	3328
camp1	2	1491	3325
camp1	2	1497	3320
camp1	2	1503	3314
camp1	2	1506	3308
camp1	2	1511	3300
camp1	2	1513	3294
camp1	2	1517	3287
camp1	2	1521	3281
camp1	2	1526	3274
camp1	2	1531	3268
camp1	2	1536	3262
camp1	2	1541	3258
camp1	2	1547	3255
camp1	2	1554	3252
camp1	2	1561	3248
camp1	2	1567	3247
camp1	2	1573	3251
camp1	2	1579	3255
camp1	2	1586	3252
camp1	2	1591	3245
camp1	2	1594	3239
camp1	2	1600	3231
camp1	2	1605	3225
camp1	2	1612	3216
camp1	2	1616	3212
camp1	2	1622	3206
camp1	2	1628	3200
camp1	2	1633	3195
camp1	2	1638	3191
camp1	2	1645	3185
camp1	2	1648	3181
camp1	2	1654	3175
camp1	2	1659	3169
camp1	2	1664	3164
camp1	2	1668	3160
camp1	2	1673	3154
camp1	2	1679	3149
camp1	2	1683	3145
camp1	2	1689	3139
camp1	2	1694	3134
camp1	2	1698	3130
camp1	2	1703	3124
camp1	2	1707	3119
camp1	2	1712	3113
camp1	2	1716	3109
camp1	2	1722	3103
camp1	2	1727	3098
camp1	2	1732	3093
camp1	2	1741	3084
camp1	3	1767	3403
camp1	3	1765	3399
camp1	3	1762	3390
camp1	3	1758	3381
camp1	3	1756	3370
camp1	3	1759	3363
camp1	3	1763	3356
camp1	3	1768	3347
camp1	3	1767	3338
camp1	3	1768	3327
camp1	3	1770	3320
camp1	3	1771	3311
camp1	3	1772	3304
camp1	3	1770	3295
camp1	3	1767	3290
camp1	3	1763	3283
camp1	3	1759	3276
camp1	3	1754	3272
camp1	3	1746	3274
camp1	3	1739	3269
camp1	3	1734	3265
camp1	3	1728	3258
camp1	3	1726	3255
camp1	3	1720	3246
camp1	3	1715	3238
camp1	3	1709	3231
camp1	3	1699	3226
camp1	3	1696	3219
camp1	3	1697	3216
camp1	3	1704	3207
camp1	3	1709	3199
camp1	3	1715	3194
camp1	3	1719	3185
camp1	3	1714	3179
camp1	3	1708	3173
camp1	3	1704	3168
camp1	3	1698	3164
camp1	3	1692	3158
camp1	3	1685	3150
camp1	3	1687	3142
camp1	3	1691	3135
camp1	3	1696	3128
camp1	3	1700	3123
camp1	3	1707	3116
camp1	3	1712	3112
camp1	3	1717	3107
camp1	3	1722	3102
camp1	3	1727	3097
camp1	3	1732	3092
camp1	3	1740	3084
camp1	3	1747	3076
camp2	1	1776	3050
camp2	1	1768	3052
camp2	1	1762	3054
camp2	1	1754	3058
camp2	1	1749	3067
camp2	1	1748	3073
camp2	1	1743	3082
camp2	1	1736	3090
camp2	1	1729	3098
camp2	1	1722	3104
camp2	1	1716	3110
camp2	1	1709	3117
camp2	1	1702	3123
camp2	1	1696	3129
camp2	1	1689	3136
camp2	1	1683	3144
camp2	1	1678	3150
camp2	1	1673	3156
camp2	1	1666	3163
camp2	1	1660	3169
camp2	1	1653	3175
camp2	1	1647	3181
camp2	1	1641	3188
camp2	1	1635	3195
camp2	1	1630	3201
camp2	1	1622	3208
camp2	1	1616	3213
camp2	1	1610	3220
camp2	1	1605	3226
camp2	1	1597	3232
camp2	1	1590	3240
camp2	1	1580	3246
camp2	1	1578	3238
camp2	1	1574	3233
camp2	1	1567	3235
camp2	1	1563	3242
camp2	1	1563	3251
camp2	1	1567	3259
camp2	1	1572	3264
camp2	1	1579	3264
camp2	1	1584	3261
camp2	1	1589	3254
camp2	1	1592	3246
camp2	1	1591	3240
camp2	1	1584	3244
camp2	1	1578	3245
camp2	2	1777	3048
camp2	2	1772	3053
camp2	2	1771	3062
camp2	2	1769	3070
camp2	2	1764	3075
camp2	2	1755	3078
camp2	2	1747	3082
camp2	2	1740	3088
camp2	2	1732	3093
camp2	2	1726	3100
camp2	2	1720	3105
camp2	2	1714	3112
camp2	2	1708	3118
camp2	2	1702	3124
camp2	2	1697	3130
camp2	2	1691	3135
camp2	2	1685	3141
camp2	2	1678	3149
camp2	2	1670	3157
camp2	2	1665	3163
camp2	2	1660	3167
camp2	2	1654	3173
camp2	2	1647	3180
camp2	2	1641	3187
camp2	2	1633	3197
camp2	2	1628	3202
camp2	2	1622	3209
camp2	2	1616	3215
camp2	2	1609	3223
camp2	2	1602	3229
camp2	2	1597	3234
camp2	2	1591	3239
camp2	2	1584	3235
camp2	2	1580	3231
camp2	2	1573	3233
camp2	2	1567	3239
camp2	2	1570	3242
camp2	2	1578	3250
camp2	2	1585	3254
camp2	2	1591	3249
camp2	2	1587	3243
camp2	2	1580	3242
camp2	2	1578	3248
camp2	3	1770	3053
camp2	3	1771	3058
camp2	3	1769	3066
camp2	3	1764	3072
camp2	3	1758	3075
camp2	3	1752	3077
camp2	3	1744	3082
camp2	3	1738	3087
camp2	3	1734	3094
camp2	3	1728	3103
camp2	3	1721	3107
camp2	3	1714	3112
camp2	3	1710	3119
camp2	3	1704	3127
camp2	3	1697	3132
camp2	3	1692	3137
camp2	3	1684	3144
camp2	3	1682	3149
camp2	3	1688	3156
camp2	3	1694	3162
camp2	3	1700	3168
camp2	3	1706	3174
camp2	3	1713	3180
camp2	3	1721	3187
camp2	3	1719	3192
camp2	3	1712	3198
camp2	3	1706	3203
camp2	3	1700	3207
camp2	3	1692	3216
camp2	3	1696	3220
camp2	3	1703	3227
camp2	3	1709	3233
camp2	3	1716	3241
camp2	3	1723	3249
camp2	3	1728	3257
camp2	3	1734	3264
camp2	3	1743	3268
camp2	3	1744	3277
camp2	3	1741	3281
camp2	3	1739	3276
camp2	3	1738	3263
camp2	3	1735	3261
